
>>  data/weather4.csv

  outlook, $temperature, $humidity,  windy, =play,  #     notes
  # sunny,        69.33,     82.25,  FALSE,   yes,  #  expected
 # 0.4167,        3.724,     8.823, 0.6667,   0.5,  # certainty
 overcast,           64,        65,   TRUE,   yes,            #
    rainy,           65,        80,  FALSE,   yes,            #
    rainy,        65.01,        96,  FALSE,   yes,            #
 overcast,           67,        90,   TRUE,   yes,            #
    rainy,           68,        80,  FALSE,   yes,            #
    sunny,           68,        70,   TRUE,   yes,            #
    sunny,           70,        90,   TRUE,    no,            #
 overcast,           71,        75,  FALSE,    no,            #
 overcast,           72,        86,  FALSE,    no,            #
    sunny,           73,        85,  FALSE,    no,            #
    sunny,           74,        85,  FALSE,    no,            #
    sunny,           75,        85,  FALSE,    no,            #

  outlook, temperature, humidity, windy, =play,  #     notes
 overcast,     <=68.75,   <=77.5,  TRUE,   yes,            #
    rainy,     <=68.75,  <=85.25, FALSE,   yes,            #
    rainy,     <=68.75,    >77.5, FALSE,   yes,            #
 overcast,     <=68.75,     <=93,  TRUE,   yes,            #
    rainy,     <=68.75,  <=85.25, FALSE,   yes,            #
    sunny,     <=68.75,   <=77.5,  TRUE,   yes,            #
    sunny,      >68.75,     <=93,  TRUE,    no,            #
 overcast,      >68.75,   <=77.5, FALSE,    no,            #
 overcast,      >68.75,     <=93, FALSE,    no,            #
    sunny,      >68.75,  <=85.25, FALSE,    no,            #
    sunny,      >68.75,  <=85.25, FALSE,    no,            #
    sunny,      >68.75,  <=85.25, FALSE,    no,            #
