




>>  data/weather5.csv

  outlook, $temperature, $humidity,  windy, =play,  #     notes
  # sunny,        69.07,     82.36,  FALSE,   yes,  #  expected
 # 0.4286,        3.605,     9.589, 0.6429,   0.5,  # certainty
 overcast,           64,        65,   TRUE,   yes,            #
    rainy,           65,        80,  FALSE,    no,            #
    rainy,           65,        96,  FALSE,   yes,            #
    rainy,           65,        96,  FALSE,    no,            #
 overcast,           67,        90,   TRUE,   yes,            #
    rainy,           68,        80,  FALSE,    no,            #
    sunny,           69,        70,   TRUE,   yes,            #
    sunny,           69,        70,   TRUE,    no,            #
    sunny,           70,        90,   TRUE,   yes,            #
 overcast,           71,        75,  FALSE,    no,            #
 overcast,           72,        86,  FALSE,   yes,            #
    sunny,           73,        85,  FALSE,    no,            #
    sunny,           74,        85,  FALSE,   yes,            #
    sunny,           75,        85,  FALSE,    no,            #

  outlook, temperature, humidity, windy, =play,  #     notes
 overcast,           1,        1,  TRUE,   yes,            #
    rainy,           1,        1, FALSE,    no,            #
    rainy,           1,        1, FALSE,   yes,            #
    rainy,           1,        1, FALSE,    no,            #
 overcast,           1,        1,  TRUE,   yes,            #
    rainy,           1,        1, FALSE,    no,            #
    sunny,           1,        1,  TRUE,   yes,            #
    sunny,           1,        1,  TRUE,    no,            #
    sunny,           1,        1,  TRUE,   yes,            #
 overcast,           1,        1, FALSE,    no,            #
 overcast,           1,        1, FALSE,   yes,            #
    sunny,           1,        1, FALSE,    no,            #
    sunny,           1,        1, FALSE,   yes,            #
    sunny,           1,        1, FALSE,    no,            #
