 cylinders, $displacement, $horsepower, $weight, $acceleration, model, origin, <mpg,      $_X,      $_Y,  #     notes
         4,            96,          69,    2189,            18,    72,      2,   26, 0.188737, 0.484534,            #
         4,           122,          86,    2395,            16,    72,      1,   22, 0.360974, 0.531930,            #
         8,           400,         175,    4464,     11.500000,    71,      1,   14, 0.734922, 0.472351,            #
         4,            97,          92,    2288,            17,    72,      3,   28, 0.280787, 0.572624,            #
         8,           351,         153,    4154,     13.500000,    71,      1,   14, 0.682107, 0.471139,            #
         4,           120,          97,    2506,     14.500000,    72,      3,   23, 0.314169, 0.575165,            #
         8,           318,         150,    4096,            13,    71,      1,   14, 0.671007, 0.473715,            #
         4,            98,          80,    2164,            15,    72,      1,   28, 0.348680, 0.545111,            #
         8,           383,         180,    4955,     11.500000,    71,      1,   12, 0.814403, 0.348860,            #
         4,            97,          88,    2100,     16.500000,    72,      3,   27, 0.275591, 0.576976,            #
         8,           400,         170,    4746,            12,    71,      1,   13, 0.736830, 0.473493,            #
         8,           350,         175,    4100,            13,    73,      1,   13, 0.765002, 0.350206,            #
         8,           400,         175,    5140,            12,    71,      1,   13, 0.752145, 0.477612,            #
         8,           304,         150,    3672,     11.500000,    73,      1,   14, 0.730014, 0.371750,            #
         6,           258,         110,    2962,     13.500000,    71,      1,   18, 0.520502, 0.569785,            #
         8,           350,         145,    3988,            13,    73,      1,   13, 0.741182, 0.360955,            #
         4,           140,          72,    2408,            19,    71,      1,   22, 0.338296, 0.527486,            #
         8,           351,         148,    4657,     13.500000,    75,      1,   14, 0.693906, 0.474449,            #
         8,           302,         137,    4042,     14.500000,    73,      1,   14, 0.712437, 0.368914,            #
         6,           250,         100,    3282,            15,    71,      1,   19, 0.511180, 0.566472,            #
         6,           231,         110,    3907,            21,    75,      1,   17, 0.492292, 0.567913,            #
         4,           114,          91,    2582,            14,    73,      2,   20, 0.313680, 0.457469,            #
         6,           250,          88,    3139,     14.500000,    71,      1,   18, 0.501896, 0.572566,            #
         6,           250,         105,    3897,     18.500000,    75,      1,   16, 0.510696, 0.562985,            #
         4,           121,         112,    2868,     15.500000,    73,      2,   19, 0.329225, 0.444445,            #
         6,           258,         110,    3730,            19,    75,      1,   15, 0.508391, 0.561432,            #
         8,           318,         150,    3399,            11,    73,      1,   15, 0.729434, 0.377157,            #
         6,           225,          95,    3785,            19,    75,      1,   18, 0.489321, 0.567871,            #
         4,           121,         110,    2660,            14,    73,      2,   24, 0.331210, 0.453637,            #
         6,           231,         110,    3039,            15,    75,      1,   21, 0.504592, 0.567373,            #
         6,           156,         122,    2807,     13.500000,    73,      3,   20, 0.491490, 0.581900,            #
         8,           262,         110,    3221,     13.500000,    75,      1,   20, 0.596256, 0.496135,            #
         8,           350,         180,    3664,            11,    73,      1,   11, 0.768075, 0.359913,            #
         8,           302,         129,    3169,            12,    75,      1,   13, 0.630006, 0.491140,            #
         6,           198,          95,    3102,     16.500000,    74,      1,   20, 0.476130, 0.572007,            #
         8,           307,         130,    3504,            12,    70,      1,   18, 0.642407, 0.485660,            #
         4,            97,          75,    2171,            16,    75,      3,   29, 0.272094, 0.579388,            #
         6,           200,           ?,    2875,            17,    74,      1,   21, 0.433318, 0.593617,            #
         8,           350,         165,    3693,     11.500000,    70,      1,   15, 0.688873, 0.475997,            #
         4,           140,          83,    2639,            17,    75,      1,   23, 0.365618, 0.524022,            #
         6,           232,         100,    2901,            16,    74,      1,   19, 0.487505, 0.569900,            #
         8,           318,         150,    3436,            11,    70,      1,   18, 0.663902, 0.484264,            #
         6,           250,         100,    3336,            17,    74,      1,   15, 0.499966, 0.564157,            #
         8,           304,         150,    3433,            12,    70,      1,   16, 0.652928, 0.481954,            #
         8,           302,         140,    3449,     10.500000,    70,      1,   17, 0.655597, 0.489276,            #
         8,           429,         198,    4341,            10,    70,      1,   15, 0.765746, 0.477344,            #
         8,           454,         220,    4354,             9,    70,      1,   14, 0.795513, 0.484994,            #
         8,           440,         215,    4312,      8.500000,    70,      1,   14, 0.789588, 0.485263,            #
         8,           455,         225,    4425,            10,    70,      1,   14, 0.794960, 0.482533,            #
         4,            98,          68,    2135,     16.600000,    78,      3, 29.5, 0.262703, 0.579032,            #
         6,           231,         115,    3245,     15.400000,    79,      1, 21.5, 0.511656, 0.563762,            #
         4,            97,          67,    1985,     16.400000,    77,      3,   30, 0.258453, 0.582257,            #
         6,           200,          85,    2990,     18.200000,    79,      1, 19.8, 0.455651, 0.575178,            #
         4,            97,          78,    2190,     14.100000,    77,      2, 30.5, 0.220266, 0.502835,            #
         6,           225,         100,    3651,     17.700000,    76,      1,   20, 0.497026, 0.565224,            #
         4,           140,          88,    2890,     17.300000,    79,      1, 22.3, 0.374684, 0.519947,            #
         6,           146,          97,    2815,     14.500000,    77,      3,   22, 0.398444, 0.632943,            #
         6,           250,          78,    3574,            21,    76,      1,   18, 0.466483, 0.575430,            #
         6,           232,          90,    3265,     18.200000,    79,      1, 20.2, 0.477566, 0.568822,            #
         4,           121,         110,    2600,     12.800000,    77,      2, 21.5, 0.270454, 0.503630,            #
         6,           250,         110,    3645,     16.200000,    76,      1, 18.5, 0.521257, 0.560859,            #
         6,           225,         110,    3360,     16.600000,    79,      1, 20.6, 0.502107, 0.563498,            #
         3,            80,         110,    2720,     13.500000,    77,      3, 21.5, 0.389821, 0.647122,            #
         6,           258,          95,    3193,     17.800000,    76,      1, 17.5, 0.489649, 0.566161,            #
         8,           305,         130,    3840,     15.400000,    79,      1,   17, 0.630088, 0.477943,            #
         4,            90,          48,    1985,     21.500000,    78,      2, 43.1, 0.143873, 0.483599,            #
         4,            97,          71,    1825,     12.200000,    76,      2, 29.5, 0.216669, 0.522896,            #
         4,            98,          66,    1800,     14.400000,    78,      1, 36.1, 0.331994, 0.559175,            #
         4,            85,          70,    1990,            17,    76,      3,   32, 0.252970, 0.581464,            #
         8,           302,         129,    3725,     13.400000,    79,      1, 17.6, 0.637821, 0.480905,            #
         4,            78,          52,    1985,     19.400000,    78,      3, 32.8, 0.222913, 0.581204,            #
         4,            97,          75,    2155,     16.400000,    76,      3,   28, 0.269041, 0.578235,            #
         8,           351,         138,    3955,     13.200000,    79,      1, 16.5, 0.667801, 0.475626,            #
         4,            85,          70,    2070,     18.600000,    78,      3, 39.4, 0.245112, 0.576383,            #
         4,           140,          72,    2565,     13.600000,    76,      1, 26.5, 0.377727, 0.539289,            #
         8,           318,         135,    3830,     15.200000,    79,      1, 18.2, 0.638618, 0.475961,            #
         4,            91,          60,    1800,     16.400000,    78,      3, 36.1, 0.246181, 0.587822,            #
         4,           130,         102,    3150,     15.700000,    76,      2,   20, 0.265871, 0.484755,            #
         8,           318,         150,    3940,     13.200000,    76,      1,   13, 0.665007, 0.473778,            #
         4,           141,          80,    3230,     20.400000,    81,      2, 28.1, 0.226620, 0.472361,            #
         6,           145,          76,    3160,     19.600000,    81,      2, 30.7, 0.294843, 0.560223,            #
         4,           120,          75,    2542,     17.500000,    80,      3, 31.3, 0.281003, 0.567859,            #
         6,           168,         116,    2900,     12.600000,    81,      3, 25.4, 0.433169, 0.633583,            #
         4,           119,          92,    2434,            15,    80,      3,   37, 0.305057, 0.574453,            #
         6,           146,         120,    2930,     13.800000,    81,      3, 24.2, 0.422083, 0.631673,            #
         4,           108,          75,    2265,     15.200000,    80,      3, 32.2, 0.283579, 0.579615,            #
         6,           231,         110,    3415,     15.800000,    81,      1, 22.4, 0.510820, 0.563346,            #
         4,            86,          65,    2110,     17.900000,    80,      3, 46.6, 0.247730, 0.578135,            #
         8,           350,         105,    3725,            19,    81,      1, 26.6, 0.600798, 0.492228,            #
         4,           156,         105,    2800,     14.400000,    80,      1, 27.9, 0.407269, 0.522491,            #
         6,           200,          88,    3060,     17.100000,    81,      1, 20.2, 0.466876, 0.573820,            #
         4,            85,          65,    2110,     19.200000,    80,      3, 40.8, 0.239061, 0.575771,            #
         6,           225,          85,    3465,     16.600000,    81,      1, 17.6, 0.488252, 0.570577,            #
         4,            90,          48,    2085,     21.700000,    80,      2, 44.3, 0.145611, 0.482330,            #
