center, prec, flex, resl, team,  pmat,  rely,  data,  cplx, ruse, docu,  time,  stor,  pvol,  acap,  pcap, pcon,  apex,  plex,  ltex,  tool, site,  sced,   $kloc, <effort, <defects, <months,  $_XX,  $_YY, $_ZZ,  #     notes
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,    vh,    n,    vh,     n,     h,     n,    n,     n,      20,      72,      566,    14.4, 0.474, 0.544,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     h,    n,    vh,     n,     h,     n,    n,     n,       6,      24,      188,     9.9, 0.449, 0.531,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,    vh,    n,    vh,     n,     h,     n,    n,     n,     100,     360,     2832,    25.2, 0.473, 0.544,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     n,    n,    vh,     n,     l,     n,    n,     n,  11.300,      36,      456,    12.8, 0.499, 0.556,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     h,     h,     h,    n,     h,     l,    vl,     n,    n,     n,     100,     215,     5434,    30.1, 0.374, 0.585,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     h,    n,    vh,     n,     h,     n,    n,     n,      20,      48,      626,    15.1, 0.449, 0.531,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     n,    n,     n,     n,    vl,     n,    n,     n,     100,     360,     4342,      28, 0.522, 0.532,    0,            #
       2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,  12.800,      62,      636,    13.6, 0.474, 0.544,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,    xh,     l,     h,    vh,    n,    vh,     n,     h,     n,    n,     n,     150,     324,     4868,    32.5, 0.423, 0.551,    0,            #
       2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,  32.600,     170,     1619,    18.7, 0.474, 0.544,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     h,    n,     h,     n,     h,     n,    n,     n,  31.500,      60,      986,    17.6, 0.424, 0.516,    0,            #
       2,    h,    h,    h,   vh,     h,     n,    vh,     h,    n,    n,    vh,    vh,     l,    vh,     n,    n,     h,     l,     h,     n,    n,     l,  35.500,     192,     1763,    19.3, 0.474, 0.544,    0,            #
       1,    h,    h,    h,   vh,     n,     n,     l,     h,    n,    n,     n,     n,     l,     h,     h,    n,    vh,     n,     h,     n,    n,     n,      15,      48,      470,    13.6, 0.449, 0.531,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,   5.500,      18,      172,     9.1, 0.672, 0.325,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,  10.400,      50,      324,    11.2, 0.672, 0.325,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,      14,      60,      437,    12.4, 0.672, 0.325,    0,            #
       2,    h,    h,    h,   vh,     n,     h,     n,     h,    n,    n,     n,     n,     n,     n,     n,    n,     n,     n,     n,     n,    n,     n,   6.500,      42,      290,      12, 0.548, 0.507,    0,            #
       5,    h,    h,    h,   vh,     l,     n,     h,     h,    n,    n,    vh,     n,     n,     h,     h,    n,     h,     n,     h,     n,    n,     n,      78,   571.4,     4815,    30.5, 0.275, 0.509,    0,            #
       2,    h,    h,    h,   vh,     n,     n,     n,     h,    n,    n,     n,     n,     n,     n,     n,    n,     n,     n,     n,     n,    n,     n,      13,      60,      683,    14.8, 0.523, 0.532,    0,            #
       5,    h,    h,    h,   vh,     l,     n,     h,     h,    n,    n,    vh,     n,     n,     h,     h,    n,     h,     n,     h,     n,    n,     n,  11.400,    98.8,      704,    15.5, 0.275, 0.509,    0,            #
       2,    h,    h,    h,   vh,     h,     n,     n,     h,    n,    n,     n,     n,     n,     n,     h,    n,     n,     n,     h,     h,    n,     n,      90,     444,     3343,    26.7, 0.473, 0.509,    0,            #
       5,    h,    h,    h,   vh,     l,     n,     h,     h,    n,    n,    vh,     n,     n,     h,     h,    n,     h,     n,     h,     n,    n,     n,  19.300,     155,     1191,    18.6, 0.275, 0.509,    0,            #
       2,    h,    h,    h,   vh,     n,     n,     n,     h,    n,    n,     n,     n,     n,     n,     n,    n,     n,     n,     n,     n,    n,     n,       8,      42,      420,    12.5, 0.523, 0.532,    0,            #
       5,    h,    h,    h,   vh,     l,     h,     n,    vh,    n,    n,     h,     h,     l,     h,     n,    n,     n,     h,     h,     n,    n,     n,     101,     750,     4840,    32.4, 0.349, 0.535,    0,            #
       5,    h,    h,    h,   vh,     l,     h,     n,     h,    n,    n,     h,     h,     l,     n,     n,    n,     h,     n,     n,     n,    n,     n,     219,    2120,    11761,    42.8, 0.447, 0.565,    0,            #
       5,    h,    h,    h,   vh,     l,     h,     n,     h,    n,    n,     h,     h,     l,     n,     n,    n,     h,     n,     n,     n,    n,     n,      50,     370,     2685,    25.4, 0.449, 0.564,    0,            #
       2,    h,    h,    h,   vh,     h,    vh,     h,     h,    n,    n,    vh,    vh,     n,    vh,    vh,    n,    vh,     n,     h,     h,    n,     l,     227,    1181,     6293,    33.8, 0.397, 0.569,    0,            #
       2,    h,    h,    h,   vh,     h,     h,     l,     h,    n,    n,     n,     n,     l,     n,     n,    n,     n,     n,     h,     n,    n,     l,  25.900,   117.6,      808,    15.3, 0.672, 0.325,    0,            #
       5,    h,    h,    h,   vh,     l,     n,     l,     n,    n,    n,     n,    vh,     l,     h,     h,    n,     h,     h,     h,     n,    n,     l,     151,     432,     6136,    26.2, 0.348, 0.535,    0,            #
       2,    h,    h,    h,   vh,     h,     n,     h,    vh,    n,    n,     n,     n,     l,     h,    vh,    n,     n,     l,     n,     n,    n,     l,      70,     278,     2950,    20.2, 0.448, 0.531,    0,            #
